State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AK,99501,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99502,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99503,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99504,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99505,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99506,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99507,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99508,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99509,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99510,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99511,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99513,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99514,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99515,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99516,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99517,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99518,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99519,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99520,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99521,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99522,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99523,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99524,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99529,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99530,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99540,"ALASKA STATE",0.000000,0.000000,0,0,0,3
AK,99550,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99554,ALAKANUK,0.000000,0.040000,0,0.040000,0,1
AK,99556,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,2
AK,99558,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99559,BETHEL,0.000000,0.060000,0,0.060000,0,4
AK,99567,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99568,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99572,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99573,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99574,CORDOVA,0.000000,0.060000,0,0.060000,0,2
