State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OR,97001,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97002,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97003,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97004,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97005,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97006,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97007,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97008,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97009,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97010,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97011,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97013,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97014,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97015,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97016,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97017,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97018,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97019,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97020,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97021,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97022,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97023,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97024,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97026,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97027,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97028,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97029,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97030,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97031,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97032,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97033,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97034,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97035,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97036,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97037,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97038,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97039,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97040,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97041,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97042,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97044,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97045,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97048,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97049,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97050,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97051,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97053,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97054,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97055,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97056,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97057,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97058,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97060,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97062,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97063,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97064,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97065,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97067,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97068,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97070,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97071,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97075,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97078,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97079,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97080,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97086,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97089,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97101,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97102,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97103,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97106,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97107,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97108,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97109,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97110,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97111,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97112,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97113,"OREGON STATE",0.000000,0.000000,0,0,0,0
OR,97114,"OREGON STATE",0.000000,0.000000,0,0,0,0
