State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
PR,00601,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00602,"AGUADA CO",0.105000,0.115000,0.010000,0,0,1
PR,00603,"AGUADILLA CO",0.105000,0.115000,0.010000,0,0,1
PR,00604,"AGUADILLA CO",0.105000,0.115000,0.010000,0,0,1
PR,00605,"AGUADILLA CO",0.105000,0.115000,0.010000,0,0,1
PR,00606,"MARICAO CO",0.105000,0.115000,0.010000,0,0,1
PR,00610,"ANASCO CO",0.105000,0.115000,0.010000,0,0,1
PR,00611,"UTUADO CO",0.105000,0.115000,0.010000,0,0,1
PR,00612,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00613,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00614,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00616,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00617,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00622,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00623,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00624,"PENUELAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00627,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00631,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00636,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00637,"SABANA GRANDE CO",0.105000,0.115000,0.010000,0,0,1
PR,00638,"CIALES CO",0.105000,0.115000,0.010000,0,0,1
PR,00641,"UTUADO CO",0.105000,0.115000,0.010000,0,0,1
PR,00646,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00647,"GUANICA CO",0.105000,0.115000,0.010000,0,0,1
PR,00650,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00652,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00653,"GUANICA CO",0.105000,0.115000,0.010000,0,0,1
PR,00656,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00659,"HATILLO CO",0.105000,0.115000,0.010000,0,0,1
PR,00660,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00662,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00664,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00667,"LAJAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00669,"LARES CO",0.105000,0.115000,0.010000,0,0,1
PR,00670,"LAS MARIAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00674,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00676,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00677,"RINCON CO",0.105000,0.115000,0.010000,0,0,1
PR,00678,"QUEBRADILLAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00680,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00681,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00682,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00683,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00685,"SAN SEBASTIAN CO",0.105000,0.115000,0.010000,0,0,1
PR,00687,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00688,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00690,"AGUADILLA CO",0.105000,0.115000,0.010000,0,0,1
PR,00692,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00693,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00694,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00698,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00703,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00704,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00705,"AIBONITO CO",0.105000,0.115000,0.010000,0,0,1
PR,00707,"MAUNABO CO",0.105000,0.115000,0.010000,0,0,1
PR,00714,"ARROYO CO",0.105000,0.115000,0.010000,0,0,1
PR,00715,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00716,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00717,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00718,"NAGUABO CO",0.105000,0.115000,0.010000,0,0,1
PR,00719,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00720,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00721,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00723,"PATILLAS CO",0.105000,0.115000,0.010000,0,0,1
PR,00725,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00726,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00727,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00728,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00729,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00730,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00731,"PUERTO RICO",0.115000,0.115000,0,0,0,1
PR,00732,"PUERTO RICO",0.115000,0.115000,0,0,0,1
